abovementioned	ดังกล่าวข้างต้น
lecher	เสือผู้หญิง
stimulant	ยากระตุ้น
bribe	เงินสินบน
pub	ร้านเหล้า
trivial matter	เรื่องไร้สาระ
pornographic film	หนังลามก
movie	หนังลามก
pornographic book	หนังสือโป๊
marine sport	กีฬาทางน้ำ
game show	เกมส์โชว์
log in	เข้าสู่ระบบ
reader	คนอ่าน
air filter	เครื่องกรองอากาศ
digital video disc	ดีวีดี
reply	ตอบกลับ
set	ตั้งค่า
talk show	ทอล์คโชว์
psychoanalysis	นักจิตวิเคราะห์
weekly	ประจำสัปดาห์
turn off	ปิดสวิตช์
turn on	เปิดสวิตช์
classical music	เพลงคลาสสิค
jazz music	เพลงแจ๊ส
pop music	เพลงป๊อบ
rock music	เพลงร็อค
microphone	ไมโครโฟน
surround	รอบทิศทาง
restart	เริ่มใหม่
neurosis	โรคประสาท
agro forestry	วนเกษตร
hang up	วางสาย
rhetoric	วาทศิลป์
variety show	วาไรตี้โชว์
bass	เสียงทุ้ม
soundtrack	เสียงในฟิล์ม
treble	เสียงแหลม
pause	หยุดชั่วคราว
sovereignty	อธิปไตย
ideal	อุดมคติ
ozone	โอโซน
hormone	ฮอร์โมน
learning process	กระบวนการเรียนรู้
field events	กรีฑาประเภทลาน
track and road	กรีฑาประเภทลู่
invert	กลับหัว
blood groups	กลุ่มเลือด
sabotage	การก่อวินาศกรรม
coding	การเข้ารหัส
free trade	การค้าแบบเสรี
prostitution	การค้าประเวณี
monopoly	การค้าผูกขาด
systematization	การจัดระบบ
battery	การทำร้ายร่างกาย
reform	การปฏิรูป
evaluation	การประเมินผล
embezzlement	การยักยอก
oral examination	การสอบปากเปล่า
conservation	การอนุรักษ์
eat up	กินเกลี้ยง
metalloid	กึ่งโลหะ
charity	กุศลจิต
green curry	แกงเขียวหวาน
mussaman curry	แกงมัสมั่น
out of sight of	ไกลลิบ
raw data	ข้อมูลดิบ
Yours truly	ขอแสดงความนับถือ
absent from examination	ขาดสอบ
outsell	ขายคล่อง
sell on credit	ขายเชื่อ
auction off	ขายเลหลัง
political official	ข้าราชการการเมือง
colour news	ข่าวแต้มสี
local news	ข่าวท้องถิ่น
social news	ข่าวสังคม
up and down	ขึ้นๆ ลงๆ
rise and fall	ขึ้นๆ ลงๆ
trade	เขตการค้า
protectorate	เขตคุ้มครอง
electorate	เขตเลือกตั้ง
on file	เข้าแฟ้ม
in all direction	คนละทิศคนละทาง
contemptible man	คนสารเลว
floater	คนหลักลอย
greenhorn	คนอ่อนหัด
dominate the world	ครองโลก
half-length	ครึ่งตัว
semiconscious	ครึ่งหลับครึ่งตื่น
relieve distress	คลายทุกข์
control the prices of	ควบคุมราคา
myth	ความเชื่อปรัมปรา
promiscuity	ความสำส่อน
feel dry	คอแห้ง
catchword	คำพูดติดปาก
overcharge	คิดแพง
hallmark	เครื่องหมายรับรองคุณภาพ
classified	โฆษณาย่อย
electioneer	โฆษณาหาเสียง
pose	จัดท่า
espionage	จารกรรม
mental deficiency	จิตบกพร่อง
mental disorder	จิตแปรปรวน
hallucination	จิตหลอน
critical point	จุดวิกฤติ
working class	ชนชั้นกรรมาชีพ
peep	ช่องมอง
ventilator	ช่องระบายลม
platform	ชานชาลา
theoretical	เชิงทฤษฎี
apply to	ใช้กับ
deodorize	ดับกลิ่น
carry on	ดำเนินต่อไป
unexpected	โดยไม่ได้คาดฝัน
fall in love	ตกหลุมรัก
round the clock	ตลอด 24 ชั่วโมง
common market	ตลาดร่วม
preset	ตั้งล่วงหน้า
advertising agency	ตัวแทนโฆษณา
augment	แต่งเติม
hold on	ถือหูโทรศัพท์
air-vent-pipe	ท่อระบายอากาศ
cross-road	ทางแพร่ง
bypass	ทางเลี่ยง
step by step	ทีละขั้น
delinquency	ทุรกรรม
capital punishment	โทษประหารชีวิต
commentator	นักวิเคราะห์ข่าว
symposium	นานาทัศนะ
twist	บิดเบน
bastard	บุตรนอกสมรส
integration	บูรณาการ
blue print	แบบพิมพ์เขียว
face sheet	ใบปะหน้า
side reaction	ปฏิกิริยาข้างเคียง
break out	ปะทุ
air compressor	ปั๊มลม
be a member of	เป็นสมาชิก
open-mind	เปิดใจกว้าง
authors	ผู้แต่ง
refugee	ผู้ลี้ภัยทางการเมือง
interviewer	ผู้สัมภาษณ์
regent	ผู้สำเร็จราชการแทนพระองค์
news sleuth	ผู้สืบข่าว
be acquitted	พ้นผิด
blast	พ่นลม
the king's signature	พระปรมาภิไธย
royal command	พระราชอัธยาศัย
deviant behavior	พฤติกรรมเบี่ยงเบน
retailer	พ่อค้าขายปลีก
be voted down	แพ้คะแนน
nude	ภาพเปลือย
pornography	ภาพลามก
concept	มโนทัศน์
conscience	มโนธรรม
entertainment	มหรสพ
standard of living	มาตรฐานการครองชีพ
meaningful	มีความหมาย
be in force	มีผลบังคับ
get into	มีส่วนพัวพัน
under the belt	ไม่เป็นธรรม
have no brain	ไม่มีความคิด
informal	ไม่มีพิธีรีตรอง
keep at	ไม่เลิกรา
no avail	ไม่สำเร็จ
surrender	ยอมจำนน
drug for external use	ยาใช้ภายนอก
potion	ยาน้ำ
antibiotics	ยาปฏิชีวนะ
poison	ยาอันตราย
put the blame	โยนความผิด
add up	รวมยอด
drying mark	รอยคราบ
Goodnight	ราตรีสวัสดิ์
go in	รี่เข้าใส่
increase speed	เร่งเครื่อง
drive	แรงขับ
child labour	แรงงานเด็ก
motivation	แรงจูงใจ
enroll in	ลงทะเบียนเรียน
get off	ลงรถ
overtime	ล่วงเวลา
neighborhood	ละแวกบ้าน
capitalism	ลัทธิทุนนิยม
go out of business	เลิกกิจการ
lay off	เลิกจ้าง
cycle	วัฏจักร
materialism	วัตถุนิยม
expiration date	วันหมดอายุ
ring off	วางโทรศัพท์
folkways	วิถีชาวบ้าน
campus	วิทยาเขต
city hall	ศาลากลางจังหวัด
comparative religion	ศาสนาเปรียบเทียบ
art appreciation	ศิลปนิยม
skateboard	สเกตบอร์ด
Steroids	สเตียรอยด์
breast cloth	สไบ
accountant	สมุห์บัญชี
decompose	สลายตัว
cooperation	สหการ
noise	สัญญาณรบกวน
field	สาขาวิชา
break through	สาดส่อง
scalene triangle	สามเหลี่ยมด้านไม่เท่า
isosceles triangle	สามเหลี่ยมหน้าจั่ว
common sense	สามัญสำนึก
preservative	สารกันบูด
detergent	สารซักฟอก
contaminant	สารปนเปื้อน
nutrient	สารอาหาร
abstract	สาระสังเขป
corporal	สิบโท
sergeant	สิบเอก
large pimple	สิวหัวช้าง
rectangle	สี่เหลี่ยมผืนผ้า
aesthetics	สุนทรียภาพ
defend	สู้คดี
hardback	หนังสือปกแข็ง
shaman	หมอผี
darkroom	ห้องมืด
jump head	หัวต่อ
sub-title	หัวเรื่องย่อย
supernatural	เหนือธรรมชาติ
overhead	เหนือศีรษะ
dry up	แห้งผาก
go along	ให้ความร่วมมือ
keep strokes	ให้จังหวะ
as usual	อย่างเคย
Good morning	อรุณสวัสดิ์
swear out	ออกหมายจับ
ego	อัตตา
egoism	อัตตานิยม
useful life	อายุใช้งาน
senior	อาวุโส
acknowledgement	เอกสารตอบรับ
self-willed	เอาแต่ใจตัวเอง
able-bodied	กำยำล่ำสัน
street isle	เกาะกลางถนน
preborn	เกิดก่อนกำหนด
there is trouble	เกิดเรื่อง
more than is necessary	เกินความจำเป็น
underdeveloped	ไกลปืนเที่ยง
broken off	ขาดระยะ
clearly white	ขาวผ่อง
raise the salary	ขึ้นเงินเดือน
start working on one's shift	เข้ากะ
take part	เข้าแทรกแซง
forget all the acquired knowledge	เข้าพุง
be in a critical situation	เข้ามุม
dare not to meet	เข้าหน้าไม่ติด
cross one's legs	ไขว้ขา
proceed gradually	ค่อยเป็นค่อยไป
in due time	ค่อยเป็นค่อยไป
full marks	คะแนนเต็ม
cost of utilities	ค่าน้ำค่าไฟ
alimony	ค่าส่งเสีย
consent	คำยินยอม
be charge interest	คิดดอกเบี้ย
watch over closely	คุมแจ
whoever	ใครก็ตาม
be inert	งอมืองอเท้า
transfer payment	เงินโอน
be end	จบเกม
medical ethics	จรรยาแพทย์
mortal wound	แผลฉกรรจ์
be farsighted	มองการณ์ไกล
around	รอบข้าง
abase	ลดเกียรติ
plead for	วอนขอ
workday	วันทำงาน
fight a lawsuit	สู้ความ
act up	แสดงอาการ
deduct marks	หักคะแนน
think of	เห็นแก่
mark	ให้คะแนน
solartag	กระจกสะท้อนแสง
wind shield	กระจกหน้ารถยนต์
green card	กรีนการ์ด
black box	กล่องดำ
biogas	ก๊าซชีวภาพ
shipping	การขนส่ง
quality control	การควบคุมคุณภาพ
air traffic	การจราจรทางอากาศ
tourism	การท่องเที่ยว
auction	การประมูล
brainstorming	การระดมสมอง
net profit	กำไรสุทธิ
pedestrian	คนเดินเท้า
workaholic	คนบ้างาน
know-how	ความรู้เชิงปฏิบัติการ
rip off	คิดเกินราคา
pay back	คืนเงิน
cable	เคเบิลทีวี
answering machine	เครื่องตอบรับโทรศัพท์
water heater	เครื่องทำน้ำร้อน
coffee grinder	เครื่องบดกาแฟ
water pump	เครื่องปั๊มน้ำ
expo	งานแสดงสินค้า
term of payment	เงื่อนไขการชำระเงิน
positive	แง่บวก
look!	จงดู
listen	จงฟัง
electronic mail	จดหมายอิเล็กทรอนิกส์
dish	จานดาวเทียม
landowner	เจ้าของที่ดิน
new look	โฉมใหม่
generation gap	ช่องว่างระหว่างวัย
sell out	เซ้ง
administrative	ด้านการบริหาร
cultural	ด้านวัฒนธรรม
economic	ด้านเศรษฐกิจ
Down's syndrome	ดาวน์ซินโดรม
unlimited	โดยไม่จำกัด
be in danger	ตกอยู่ในอันตราย
pedestal	ทางเดินเท้า
motorway	ทางหลวงพิเศษ
town house	ทาวน์เฮาส์
lounge	ที่รับรอง
information technology	เทคโนโลยีสารสนเทศ
cardphone	โทรศัพท์ใช้บัตร
cordless telephone	โทรศัพท์ไร้สาย
self-service	บริการตัวเอง
subscribe	บอกรับเป็นสมาชิก
savings account	บัญชีออมทรัพย์
boutique	บูติก
feature	ประกอบด้วย
Spinach	ผักขม
Parsley	ผักชีฝรั่ง
panelboard	แผงจ่ายไฟ
switchboard	แผงสวิตช์
CD	แผ่นซีดี
intern	พนักงานฝึกหัด
in-house	ภายในประเทศ
Open University	มหาวิทยาลัยเปิด
self-confident	มั่นใจตัวเอง
measure	มาตรการ
minicomputer	มินิคอมพิวเตอร์
qualified	มีคุณสมบัติดีพร้อม
shaver	มีดโกนหนวดไฟฟ้า
microcomputer	ไมโครคอมพิวเตอร์
inoperative	ไม่ทำงาน
never-ending	ไม่มีที่สิ้นสุด
e.g.	ยกตัวอย่างเช่น
remain	ยังคง
pulp	เยื่อกระดาษ
tram	รถราง
brainstorm	ระดมสมอง
digital	ระบบดิจิตอล
answering system	ระบบโทรศัพท์ตอบรับ
automatic telephone system	ระบบโทรศัพท์อัตโนมัติ
scandal	เรื่องอื้อฉาว
wireless	ไร้สาย
docudrama	ละครกึ่งสารคดี
brainwash	ล้างสมอง
adult	ลามกอนาจาร
cyberspace	โลกเทคโนโลยีสารสนเทศ
pager	วิทยุติดตามตัว
jargon	ศัพท์เทคนิคเฉพาะ
mall	ศูนย์การค้า
black economy	เศรษฐกิจนอกระบบ
brain drain	สมองไหล
market share	ส่วนแบ่งการตลาด
hotline	สายด่วน
fibre-optic	สายใยแก้วนำแสง
mixed media	สื่อผสม
high-rise	สูงระฟ้า
dietary fibre	เส้นใยอาหาร
Euro	หน่วยเงินตรายุโรป
end of life	หมดอายุการใช้งาน
black hole	หลุมดำ
art galleries	หอศิลป์
monument	อนุสาวรีย์
efficiently	อย่างมีประสิทธิภาพ
box	ออกโทรทัศน์
interest rate	อัตราดอกเบี้ย
office building	อาคารสำนักงาน
fast food	อาหารจานด่วน
main courses	อาหารจานหลัก
irradiated food	อาหารฉายรังสี
convenience food	อาหารสะดวกซื้อ
EQ	อีคิว
telecommunication	อุปกรณ์โทรคมนาคม
black box	กล่องดำ
biogas	ก๊าซชีวภาพ
brainstorming	การระดมสมอง
workaholic	คนบ้างาน
know-how	ความรู้เชิงปฏิบัติการ
cable	เคเบิลทีวี
answering machine	เครื่องตอบรับโทรศัพท์
dish	จานดาวเทียม
new look	โฉมใหม่
generation gap	ช่องว่างระหว่างวัย
Down's syndrome	ดาวน์ซินโดรม
motorway	ทางหลวงพิเศษ
town house	ทาวน์เฮาส์
information technology	เทคโนโลยีสารสนเทศ
cardphone	โทรศัพท์ใช้บัตร
self-service	บริการตัวเอง
boutique	บูติก
CD	แผ่นซีดี
in-house	ภายในประเทศ
Open University	มหาวิทยาลัยเปิด
microcomputer	ไมโครคอมพิวเตอร์
wireless	ไร้สาย
docudrama	ละครกึ่งสารคดี
brainwash	ล้างสมอง
adult	ลามกอนาจาร
pager	วิทยุติดตามตัว
mall	ศูนย์การค้า
black economy	เศรษฐกิจนอกระบบ
brain drain	สมองไหล
hotline	สายด่วน
mixed media	สื่อผสม
dietary fibre	เส้นใยอาหาร
Euro	หน่วยเงินตรายุโรป
black hole	หลุมดำ
box	ออกโทรทัศน์
fast food	อาหารจานด่วน
convenience food	อาหารสะดวกซื้อ
EQ	อีคิว
showroom	โชว์รูม
buckle	หัวเข็มขัด
chevrons	บั้งยศ
The Judge Advocate General's Department	กรมพระธรรมนูญ
The Textile Organization	องค์การทอผ้า
The Tanning Organization	องค์ฟอกหนัง
special advisor	ที่ปรึกษาพิเศษ
full dress uniform	เครื่องแบบเต็มยศ
blank cartridge	กระสุนหลอก
air strike	การโจมตีทางอากาศ
biological weapon	อาวุธชีวภาพ
chemical weapon	อาวุธเคมี
external factor	ปัจจัยภายนอก
internal factor	ปัจจัยภายใน
vision	วิสัยทัศน์
power dry	สารดูดความชื้น
website	เว็บไซต์
small business	ธุรกิจขนาดย่อม
biological weapon	อาวุธเชื้อโรค
fuel gas	ก๊าซเชื้อเพลิง
target group	กลุ่มเป้าหมาย
broker	โบรกเกอร์
technical specialist	นักวิชาการพิเศษ
chief engineer	นายช่างใหญ่
deputy chief	รองหัวหน้า
economist	นักเศรษฐศาสตร์
good boy	เด็กดี
folk wisdom	ภูมิปัญญาพื้นบ้าน
provincial part	ภูมิภาค
provincial	ภูมิภาค
native habitat	ภูมิลำเนา
geography	ภูมิศาสตร์
weather	ภูมิอากาศ
consuming property	โภคทรัพย์
mother	แม่
though	แม้
even if	แม้กระทั่ง
market  women	แม่ค้า
horseshoe crab	แมงดา
pimp	แมงดา
army leader	แม่ทัพ
accurate	แม่นยำ
accurately	แม่นยำ
river	แม่น้ำ
river	แม่น้ำลำคลอง
leading role	แม่บท
topic	แม่บท
housekeeper	แม่บ้าน
housewife	แม่บ้าน
breeder	แม่พันธุ์
teacher	แม่พิมพ์
mold	แม่พิมพ์
insect	แมลง
primary colours	แม่สี
electro-magnet	แม่เหล็กไฟฟ้า
o'clock	โมง
be angry	โมโห
angry	โมโห
not	ไม่
wood	ไม้
plant	ไม้
broom	ไม้กวาด
microcomputer	ไมโครคอมพิวเตอร์
flowerer	ไม้ดอก
tree	ไม้ต้น
friendship	ไมตรี
foliage plant	ไม้ใบ
fruit	ไม้ผล
bamboo	ไม้ไผ่
perennial plant	ไม้ยืนต้น
mile	ไมล์
tree	ไม้ใหญ่
separate	แยกประเภท
distinguish	แยกแยะ
separate	แยกส่วน
catch	แย่ง
contradict	แย้ง
snatch	แย่งชิง
blossom	แย้ม
reveal	แย้ม
remove	โยกย้าย
first	แรกเริ่ม
vulture	แร้ง
pressure	แรงกดดัน
pressure	แรงกดดัน
motivation	แรงกระตุ้น
drive	แรงขับ
propulsion	แรงขับ
labor	แรงงาน
incentive	แรงจูงใจ
traction	แรงฉุด
pressure	แรงดัน
inspiration	แรงบันดาลใจ
impulsion	แรงผลักดัน
high-tension	แรงสูง
mineral	แร่ธาตุ
disease	โรค
psychosis	โรคจิต
nervous	โรคประสาท
illness	โรคภัยไข้เจ็บ
building	โรง
factory	โรงงาน
industrial factory	โรงงานอุตสาหกรรม
hospital	โรงพยาบาล
police station	โรงพัก
press	โรงพิมพ์
power plant	โรงไฟฟ้า
school	โรงเรียน
international school	โรงเรียนนานาชาติ
hotel	โรงแรม
mill	โรงสี
rice mill	โรงสีข้าว
theatre	โรงหนัง
sprinkle	โรย
pay out	โรย
unroll	โรย
fade	โรย
field	ไร่นา
joint plantation	ไร่นาสวนผสม
wireless	ไร้สาย
nonsensical	ไร้สาระ
hermit	ฤษี
exchange	แลกเปลี่ยน
drought	แล้ง
already	แล้ว
world	โลก
vision	โลกทัศน์
bare	โล่ง
clear	โล่ง
greed	โลภ
metal	โลหะ
surround	แวดล้อม
circle	แวดวง
glasses	แว่น
slice	แว่น
eye glasses	แว่นตา
indistinctly	แว่ว
expression of eye	แววตา
oh	โว้ย
diction	โวหาร
keep	ไว้
wine	ไวน์
white wine	ไวน์ขาว
red wine	ไวน์แดง
grammar	ไวยากรณ์
generative grammar	ไวยากรณ์พึ่งพา
virus	ไวรัส
faith	ศรัทธา
believe in	ศรัทธา
honour	ศรี
power	ศักดา
mightiness	ศักดิ์
prestige	ศักดิ์
dignity	ศักดินา
honour	ศักดิ์ศรี
holy	ศักดิ์สิทธิ์
latency	ศักยภาพ
era	ศักราช
enemy	ศัตรู
terminology	ศัพท์เฉพาะ
arrow	ศัลย์
shrine	ศาล
court	ศาล
civil court	ศาลแขวง
joss house	ศาลเจ้า
civil court	ศาลชั้นต้น
joss house	ศาลพระภูมิ
Court of justice	ศาลยุติธรรม
appeal court	ศาลอุทธรณ์
pavilion	ศาลา
The founder of the religious	ศาสดา
science	ศาสตร์
professor	ศาสตราจารย์
religious activities	ศาสนกิจ
religious place	ศาสนสถาน
religious	ศาสนา
Christianity	ศาสนาคริสต์
Bramanism	ศาสนาพราหมณ์
Buddhism	ศาสนาพุทธ
Islam	ศาสนาอิสลาม
splendor	ศิริ
art	ศิลป์
work of art	ศิลปกรรม
contemporary art	ศิลปร่วมสมัย
art and cultural	ศิลปวัฒนธรรม
object d'art	ศิลปวัตถุ
liberal arts	ศิลปศาสตร์
modern art	ศิลปสมัยใหม่
art	ศิลปะ
artist	ศิลปิน
stone	ศิลา
stone inscription	ศิลาจารึก
student	ศิษย์
alumni	ศิษย์เก่า
head	ศีรษะ
precept	ศีล
morality	ศีลธรรมจรรยา
study	ศึกษา
study	ศึกษาเล่าเรียน
research	ศึกษาวิจัย
Sudra	ศูทร
centre	ศูนย์
zero	ศูนย์
disappear	ศูนย์
bright green	โศก
be sad	โศก
tragedy	โศกนาฏกรรม
grieve	โศกเศร้า
be dirty	สกปรก
intercept	สกัดกั้น
family	สกุล
noble birth	สกุล
monetary	สกุลเงิน
SongKran	สงกรานต์
send	ส่งข่าว
war	สงคราม
cold war	สงครามเย็น
support	สงเคราะห์
monk	สงฆ์
peaceably	สงบสุข
affect	ส่งผล
have an affect on	ส่งผลกระทบ
effect	ส่งผลลัพธ์
deliver	ส่งมอบ
reserve	สงวน
signal	ส่งสัญญาณ
doubt	สงสัย
pity	สงสาร
transport	ส่งสินค้า
promote	ส่งเสริม
be fresh	สดชื่น
be bright	สดใส
praise	สดุดี
money	สตางค์
intelligence	สติปัญญา
studio	สตูดิโอ
style	สไตล์
place	สถาน
consulate	สถานกงสุล
legation	สถานทูต
cabaret	สถานบันเทิง
clinic	สถานพยาบาล
status	สถานภาพ
school	สถานศึกษา
welfare	สถานสงเคราะห์
station	สถานี
transport station	สถานีขนส่ง
railway station	สถานีรถไฟ
institution	สถาบัน
family institution	สถาบันครอบครัว
royal institution	สถาบันพระมหากษัตริย์
social institution	สถาบันสังคม
institution of education	สถาบันอุดมศึกษา
found	สถาปนา
architect	สถาปนิก
architecture	สถาปัตยกรรม
statistic	สถิติ
shrine	สถูป
pagoda	สถูปเจดีย์
talk	สนทนา
information	สนเทศ
join	สนธิ
contract	สนธิสัญญา
respond	สนองตอบ
support	สนับสนุน
electromagnet field	สนามแม่เหล็กไฟฟ้า
lawn	สนามหญ้า
tight	สนิท
intimate	สนิท
intimate	สนิทสนม
rust	สนิม
amuse	สนุกสนาน
be happy	สบายใจ
soap	สบู่
sponsor	สปอนเซอร์
Spain	สเปน
spray	สเปรย์
surrounding	สภาพแวดล้อม
state of economy	สภาพเศรษฐกิจ
state of society	สภาพสังคม
state	สภาวะ
priest of rank	สมณศักดิ์
equilibrium	สมดุล
equilibrium	สมดุลย์
equilibrium	สมดุลยภาพ
majesty	สมเด็จ
His majesty	สมเด็จพระ
join	สมทบ
property	สมบัติ
wealth	สมบัติพัสถาน
perfectly	สมบูรณ์
be perfect	สมบูรณ์
be perfect	สมบูรณ์แบบ
abbot	สมภาร
suppose	สมมติ
hypothesis	สมมติฐาน
suppose	สมมุติ
hypothesis	สมมุติฐาน
battlefield	สมรภูมิ
efficiency	สมรรถภาพ
marry	สมรส
brain drain	สมองไหล
volunteer	สมัคร
apply for	สมัครงาน
be willing to	สมัครใจ
amateur	สมัครเล่น
assembly	สมัชชา
age	สมัย
former times	สมัยก่อน
ancient	สมัยโบราณ
session	สมัยประชุม
modernized	สมัยใหม่
regularly	สม่ำเสมอ
notebook	สมุด
note book	สมุดบันทึก
white book	สมุดปกขาว
visiting book	สมุดเยี่ยม
ocean	สมุทร
cause	สมุทัย
herb	สมุนไพร
club	สโมสร
take a bath	สรงน้ำ
pour water	สรงน้ำพระ
properties	สรรพคุณ
all of life	สรรพชีวิต
pronoun	สรรพนาม
excise	สรรพสามิต
revenue	สรรพากร
search for	สรรหา
heaven	สรวงสวรรค์
pond	สระน้ำ
build	สร้าง
make a job	สร้างงาน
make trouble	สร้างปัญหา
imagine	สร้างภาพ
create	สร้างสรรค์
physiology	สรีรวิทยา
body	สรีระ
sum up	สรุป
conclude	สรุปผล
complicate	สลับซับซ้อน
lottery	สลากกินแบ่งรัฐบาล
part	ส่วน
reverse trend	สวนกระแส
paramour	ส่วนเกิน
more than enough	ส่วนเกิน
classifier	ส่วนขยาย
part	ส่วนงาน
complement	ส่วนเติมเต็ม
minority	ส่วนน้อย
personal	ส่วนบุคคล
share	ส่วนแบ่ง
composition	ส่วนประกอบ
forestry plantations	สวนป่า
joint garden	สวนผสม
ingredient	ส่วนผสม
private	ส่วนพระองค์
provincial	ส่วนภูมิภาค
fraction	ส่วนย่อย
public	ส่วนรวม
parade	สวนสนาม
park	สวนสาธารณะ
importance	ส่วนสำคัญ
majority	ส่วนใหญ่
wear the garland	สวมมงคล
heaven	สวรรค์
pass away	สวรรคต
happiness	สวัสดิ์
loveliness	สวาท
net	สวิง
switch	สวิตซ์
Sweden	สวีเดน
co-operative	สหกรณ์
union	สหพันธ์
federal state	สหพันธรัฐ
union	สหภาพ
Union of Soviet	สหภาพโซเวียต
labor union	สหภาพแรงงาน
United States of America	สหรัฐอเมริกา
united colleges	สหวิทยาลัย
millennium	สหัสวรรษ
ask	สอบถาม
interrogate	สอบปากคำ
final examination	สอบไล่
investigate	สอบสวน
spell	สะกด
satisfy	สะใจ
be convenient	สะดวก
comfortably	สะดวกสบาย
shudder	สะดุ้ง
discontinue	สะดุด
stumble	สะดุด
exorcise	สะเดาะเคราะห์
reflect	สะท้อน
echo	สะท้อน
give an expression of life	สะท้อนชีวิต
reflect on	สะท้อนปัญหา
reflect	สะท้อนแสง
shiver	สะท้าน
shake	สะเทือน
be hurt	สะเทือนใจ
shake off	สะบัด
spread out	สะพัด
bridge	สะพาน
wood bridge	สะพานไม้
hip	สะโพก
daughter in-law	สะใภ้
clear up	สะสาง
be clean	สะอาด
sob	สะอื้น
belong to	สังกัด
observe	สังเกต
conch shell	สังข์
body	สังขาร
social	สังคม
local society	สังคมชนบท
urban society	สังคมเมือง
sociology	สังคมวิทยา
social science	สังคมศาสตร์
synthesis	สังเคราะห์
Chairman of the Ecclesiastical	สังฆนายก
patriarch	สังฆราช
command	สั่งงาน
order	สั่งซื้อ
offer	สังเวยบูชา
collect	สั่งสม
get together	สังสรรค์
teach	สั่งสอน
kill	สังหาร
the truth	สัจธรรม
travel	สัญจร
nationality	สัญชาติ
instinct	สัญชาติญาณ
contract	สัญญา
promise	สัญญา
signal	สัญญาณ
digital alarm	สัญญาณดิจิตอล
affirmative sign	สัญญาณตอบรับ
clock signal	สัญญาณนาฬิกา
time signal	สัญญาณเวลา
symbol	สัญลักษณ์
figure	สัณฐาน
proportion	สัดส่วน
honest	สัตย์
ratification	สัตยาบัน
inborn trait	สันดาน
peace	สันติ
peace	สันติภาพ
league	สันนิบาต
presume	สันนิษฐาน
Sanskrit	สันสกฤต
quake	สั่นสะเทือน
week	สัปดาห์
rhyme	สัมผัส
feel	สัมผัส
sense	สัมผัส
touch	สัมผัส
relatedness	สัมพันธ์
relationship	สัมพันธภาพ
ally	สัมพันธมิตร
interview	สัมภาษณ์
branch	สาขา
program	สาขาวิชา
malign	สาดโคลน
public	สาธารณชน
public benefit	สาธารณประโยชน์
republic	สาธารณรัฐ
The Republic of China	สาธารณรัฐประชาชนจีน
public health	สาธารณสุข
public	สาธารณะ
public utility	สาธารณูปโภค
demonstrate	สาธิต
virtuous men	สาธุชน
swear	สาบาน
novice	สามเณร
tricycle	สามล้อ
three pole	สามเส้า
triangle	สามเหลี่ยม
harmonize	สามัคคี
harmony	สามัคคี
ordinary	สามัญ
commoner	สามัญชน
can	สามารถ
cable line	สายเคเบิล
inspector	สายตรวจ
string	สายป่าน
rain	สายฝน
gene	สายพันธุ์
wire	สายไฟ
wire	สายไฟฟ้า
relation	สายสัมพันธ์
non-fiction	สารคดี
residue	สารตกค้าง
lead	สารตะกั่ว
information	สารสนเทศ
addict thing	สารเสพย์ติด
nutrient	สารอาหาร
main point	สาระสำคัญ
encyclopaedia	สารานุกรม
algae	สาหร่าย
severe	สาหัส
cause	สาเหตุ
important	สำคัญ
residence	สำนัก
office	สำนักงาน
press	สำนักพิมพ์
house of priest	สำนักสงฆ์
realize	สำนึก
sense	สำนึก
copy	สำเนา
survey	สำรวจ
reserve	สำรอง
store data	สำรองข้อมูล
suit	สำรับ
be happy	สำราญ
finish	สำเร็จ
succeed	สำเร็จผล
instant	สำเร็จรูป
choke	สำลัก
for	สำหรับ
building	สิ่งก่อสร้าง
Singapore	สิงคโปร์
fabric	สิ่งทอ
invention	สิ่งประดิษฐ์
unknown	สิ่งแปลกปลอม
stimulus	สิ่งเร้า
seductions	สิ่งล่อใจ
environment	สิ่งแวดล้อม
holy thing	สิ่งศักดิ์สิทธิ์
Leo	สิงห์
right	สิทธิ์
authority	สิทธิ
right	สิทธิประโยชน์
personality	สิทธิส่วนบุคคล
liberty and rights	สิทธิเสรีภาพ
goods	สินค้า
agriculture goods	สินค้าเกษตร
textile goods	สินค้าสิ่งทอ
industrial goods	สินค้าอุตสาหกรรม
absolutely	สิ้นเชิง
credit	สินเชื่อ
waste	สิ้นเปลือง
pass away	สิ้นพระชนม์
end	สิ้นสุด
fine	สินไหมทดแทน
luck	สิริมงคล
square	สี่แยก
colour	สีสัน
square	สี่เหลี่ยม
square	สี่เหลี่ยมจัตุรัส
detect	สืบ
retrieve	สืบค้น
proceed	สืบเนื่อง
reproduce	สืบพันธุ์
succeed to the throne	สืบราชสมบัติ
succeed to the throne	สืบราชสันตติวงศ์
investigate	สืบสวนคดี
investigate	สืบสวนสอบสวน
continue	สืบสาน
investigate	สืบสาว
advertising media	สื่อโฆษณา
mass media	สื่อมวลชน
communicate	สื่อสาร
mass communication	สื่อสารมวลชน
printing media	สื่อสิ่งพิมพ์
happiness	สุข
health	สุขภาพ
mental health	สุขภาพจิต
health and sanitation	สุขภาพอนามัย
hygienic condition	สุขลักษณะ
comfortably	สุขสบาย
mild	สุขุม
keep cool	สุขุม
honest	สุจริต
youngest	สุดท้อง
last	สุดท้าย
net	สุทธิ
arts and appreciation	สุนทรียภาพ
be polite	สุภาพ
