english	thai	paiboon
systematization	การจัดระบบ	gaan-jàt-rá-bòp
battery	การทำร้ายร่างกาย	gaan-tam-raai-raang-gaay
reform	การปฏิรูป	gaan-bpà-dtì-rûup
evaluation	การประเมินผล	gaan-bprà-meen-pǒn
embezzlement	การยักยอก	gaan-yák-yɔ̀ɔk
oral examination	การสอบปากเปล่า	gaan-sɔ̀ɔp-bpàak-bplào
conservation	การอนุรักษ์	gaan-à-nu-ràk
eat up	กินเกลี้ยง	gin-glîaŋ
metalloid	กึ่งโลหะ	gʉ̀ng-loo-há
charity	กุศลจิต	gù-sun-jìt
green curry	แกงเขียวหวาน	gɛɛŋ-kʰǐao-wǎan
mussaman curry	แกงมัสมั่น	kɛɛŋ-mas-màn
out of sight of	ไกลลิบ	gai-líp
raw data	ข้อมูลดิบ	kɔ̂ɔ-muu-dìp
Yours truly	ขอแสดงความนับถือ	kɔ̌ɔ-sà-dɛɛŋ-kwaam-náp-t
absent from examination	ขาดสอบ	khàat-sɔ̀ɔp
outsell	ขายคล่อง	khai-klɔ̂ɔŋ
sell on credit	ขายเชื่อ	kǎai-chʉ̂a
auction off	ขายเลหลัง	kǎai-le-lǎŋ
political official	ข้าราชการการเมือง	kâa-raat-chá-gaan-gaa-mʉaŋ
colour news	ข่าวแต้มสี	kàao-dtɛ̂m-sǐi
local news	ข่าวท้องถิ่น	kàao-tɔ́ɔng-tìn
social news	ข่าวสังคม	kàao-saŋ-kom
up and down	ขึ้นๆ ลงๆ	khʉ̂n-khʉ̂n loŋ-loŋ
rise and fall	ขึ้นๆ ลงๆ	khʉ̂n-khʉ̂n loŋ-loŋ
trade	เขตการค้า	kèt-gaan-káa
protectorate	เขตคุ้มครอง	kèet-kúm-kroong
electorate	เขตเลือกตั้ง	kèet-lʉ̌aŋ-dtâŋ
on file	เข้าแฟ้ม	khâa-fɛ̂m
in all direction	คนละทิศคนละทาง	kon-la-tít-kon-la-taaŋ
contemptible man	คนสารเลว	kon-sǎa-ləo
floater	คนหลักลอย	kon-làk-lɔɔi
greenhorn	คนอ่อนหัด	kon-ɔ̀ɔn-hàt
dominate the world	ครองโลก	krɔɔŋ-loo̓k
half-length	ครึ่งตัว	khrʉ̂ng-dtua
semiconscious	ครึ่งหลับครึ่งตื่น	krʉ̂ng-làp-krʉ̂ng-dtʉ̀n
relieve distress	คลายทุกข์	klai-túk
control the prices of	ควบคุมราคา	khuap-khum-raa-khaa
myth	ความเชื่อปรัมปรา	kwaam-chʉ̂a-bpram-bpraa
promiscuity	ความสำส่อน	kwaam-sam-sɔ̀on
feel dry	คอแห้ง	kɔɔ-hɛ̂ŋ
catchword	คำพูดติดปาก	kam-pûut-dtìt-bpaak
overcharge	คิดแพง	kit-pɛɛŋ
hallmark	เครื่องหมายรับรองคุณภาพ	khrʉ̂aŋ-màai-ráp-roŋ-kun-phaap
classified	โฆษณาย่อย	koo-sà-naa-yɔ̀y
electioneer	โฆษณาหาเสียง	khoo-sà-naa-hǎa-sǐaŋ
pose	จัดท่า	jàt-táa
espionage	จารกรรม	jaa-ra-gam
mental deficiency	จิตบกพร่อง	jìt-bok-prɔ̂ŋ
mental disorder	จิตแปรปรวน	jìt-bpɛɛ-bpra-won
hallucination	จิตหลอน	jìt-lɔɔn
critical point	จุดวิกฤติ	jùd-wík-krʉ̀d
working class	ชนชั้นกรรมาชีพ	chon-chân-gam-maa-chii-p
peep	ช่องมอง	chɔ̂ŋ-mɔɔŋ
ventilator	ช่องระบายลม	chɔ̀ŋ-rá-bai-lom
platform	ชานชาลา	chaa-chá-laa
theoretical	เชิงทฤษฎี	chəəŋ-trʉ́t-dii
apply to	ใช้กับ	chái-gàp
deodorize	ดับกลิ่น	dàp-glìn
carry on	ดำเนินต่อไป	dam-nəən-dtɔ̀-bpai
unexpected	โดยไม่ได้คาดฝัน	doy-mai-dai-kaat-fan
fall in love	ตกหลุมรัก	dtòk-lùm-rak
round the clock	ตลอด 24 ชั่วโมง	dtà-lɔ̂ɔd yîi-sìi chûa-mooŋ
common market	ตลาดร่วม	dtà-làat-ruuam
preset	ตั้งล่วงหน้า	dtâŋ-luaŋ-nâa
advertising agency	ตัวแทนโฆษณา	dtua-tɛɛn-koo-sa-naa
augment	แต่งเติม	dtɛ̀ŋ-dəəm
hold on	ถือหูโทรศัพท์	tʉ̌ʉ-hǔu-too-rá-sàp
air-vent-pipe	ท่อระบายอากาศ	thɔ̀-rá-bai-aa-gàat
cross-road	ทางแพร่ง	taang-pprɛɛŋ
bypass	ทางเลี่ยง	taaŋ-líaŋ
step by step	ทีละขั้น	tii-lá-kʉ̂n
delinquency	ทุรกรรม	tù-ràgam
capital punishment	โทษประหารชีวิต	thôot-bprà-hǎan-chii-wit
commentator	นักวิเคราะห์ข่าว	nák-wi-krâa-kàao
symposium	นานาทัศนะ	naa-naa-tát-sà-ná
twist	บิดเบน	bid-ben
bastard	บุตรนอกสมรส	bùt-rá-nɔ̀k-sǒm-rót
integration	บูรณาการ	buu-rá-naa-gaan
blue print	แบบพิมพ์เขียว	bɛ̀ɛp-pim-khǐao
face sheet	ใบปะหน้า	bai-bpa-nâa
side reaction	ปฏิกิริยาข้างเคียง	bpà-dtì-gì-rí-yaa-kâaŋ-khiiaŋ
break out	ปะทุ	bpà-tù
air compressor	ปั๊มลม	bpum-lom
be a member of	เป็นสมาชิก	bpen-sà-maa-chik
open-mind	เปิดใจกว้าง	bpə̀ət-jai-kwâang
authors	ผู้แต่ง	pûu-dtɛ̀ŋ
refugee	ผู้ลี้ภัยทางการเมือง	pʉ́-líi-pai-taaŋ-gaan-mʉaŋ
interviewer	ผู้สัมภาษณ์	pʉ́-sǎm-pâat
regent	ผู้สำเร็จราชการแทนพระองค์	pʉ́-sǎm-rèt-raa-chá-gaa-tɛɛn
news sleuth	ผู้สืบข่าว	pʉ́-sʉ̀p-kàao
be acquitted	พ้นผิด	pón-pìt
blast	พ่นลม	pòn-lom
the king's signature	พระปรมาภิไธย	prá-bpɔ-maa-pí-tai
royal command	พระราชอัธยาศัย	pá-raa-chaai-tá-yaa-sǎi
deviant behavior	พฤติกรรมเบี่ยงเบน	prə̀-dtì-gam-bìaŋ-ben
retailer	พ่อค้าขายปลีก	pɔ̂ɔ-káa-kǎai-bplìik
be voted down	แพ้คะแนน	pʰɛ́ɛ-ká-nɛɛn
nude	ภาพเปลือย	pâap-bplʉay
pornography	ภาพลามก	paa-plaa-mok
concept	มโนทัศน์	má-noo-tát
conscience	มโนธรรม	má-noo-tam
entertainment	มหรสพ	má-hŏ-sòp
standard of living	มาตรฐานการครองชีพ	maa-dtà-dǎan-gaa-krooŋ-chii-p
meaningful	มีความหมาย	mii-kwaam-măai
be in force	มีผลบังคับ	mii-pǒn-baŋ-kàp
get into	มีส่วนพัวพัน	mii-sùan-pua-pan
under the belt	ไม่เป็นธรรม	mai-bpen-tam
have no brain	ไม่มีความคิด	mai-mii-kwaam-kit
informal	ไม่มีพิธีรีตรอง	mâi-mii-pí-tii-rii-dtɔɔŋ
keep at	ไม่เลิกรา	mâi-ləəg-raa
no avail	ไม่สำเร็จ	mâi-sǎm-rèt
surrender	ยอมจำนน	yɔɔm-jam-non
drug for external use	ยาใช้ภายนอก	yaa-chái-phaai-nɔ̂ɔk
potion	ยาน้ำ	yaa-náam
antibiotics	ยาปฏิชีวนะ	yaa-bpa-dtì-chii-wa-ná
poison	ยาอันตราย	yaa-ʉn-dtà-raai
put the blame	โยนความผิด	yoon-kwaam-pit
add up	รวมยอด	ruam-yɔ̀ɔt
drying mark	รอยคราบ	rɔɔi-kraap
Goodnight	ราตรีสวัสดิ์	raa-dtrii-sà-wàt
go in	รี่เข้าใส่	rîi-kâo-sai
increase speed	เร่งเครื่อง	rèŋ-krʉ̂aŋ
drive	แรงขับ	rɛɛŋ-kàp
child labour	แรงงานเด็ก	rɛɛŋ-ŋaan-dèk
motivation	แรงจูงใจ	rɛɛŋ-juuŋ-jai
enroll in	ลงทะเบียนเรียน	loŋ-tá-bian-rian
get off	ลงรถ	loŋ-rót
overtime	ล่วงเวลา	luaŋ-wee-laa
neighborhood	ละแวกบ้าน	lá-wɛɛk-bâan
capitalism	ลัทธิทุนนิยม	lat-tí-tun-ní-yom
go out of business	เลิกกิจการ	lək-gìt-gaan
lay off	เลิกจ้าง	lə̂ik-jâaŋ
cycle	วัฏจักร	wàt-ja-gon
materialism	วัตถุนิยม	wat-tu-ni-yom
expiration date	วันหมดอายุ	wan-mòt-aa-yu
ring off	วางโทรศัพท์	waang-too-rá-sàp
folkways	วิถีชาวบ้าน	wi-tǐi-chaao-bâan
campus	วิทยาเขต	wit-tá-yaa-kèt
city hall	ศาลากลางจังหวัด	sǎa-laa-glaang-jaŋ-wàt
comparative religion	ศาสนาเปรียบเทียบ	sàat-sà-naa-bpriap-tʰia
art appreciation	ศิลปนิยม	sǐl-bpa-ní-yom
skateboard	สเกตบอร์ด	s-gèt-bɔɔ-dt
Steroids	สเตียรอยด์	s-dtia-roid
breast cloth	สไบ	sà-bai
accountant	สมุห์บัญชี	som-bun-chii
decompose	สลายตัว	sà-laai-dtua
cooperation	สหการ	sa-hà-gaan
noise	สัญญาณรบกวน	san-yaa-nam-róp-guan
field	สาขาวิชา	sǎa-kaa-wi-chaa
break through	สาดส่อง	sàat-sɔ̀ŋ
scalene triangle	สามเหลี่ยมด้านไม่เท่า	sǎam-lìiam-dâan-mâi-tâo
isosceles triangle	สามเหลี่ยมหน้าจั่ว	sǎam-lìa-yom-nâa-jua
common sense	สามัญสำนึก	sǎa-man-sǎm-nʉk
preservative	สารกันบูด	sǎan-gun-bùut
detergent	สารซักฟอก	sǎa-sák-fɔ̂ɔk
contaminant	สารปนเปื้อน	sǎan-bpan-bpʉ̂an
nutrient	สารอาหาร	sǎa-raa-hǎan
abstract	สาระสังเขป	sǎa-rá-saŋ-kèp
corporal	สิบโท	sìp-too
sergeant	สิบเอก	sìp-èek
large pimple	สิวหัวช้าง	sì-wǎa-cháaŋ
rectangle	สี่เหลี่ยมผืนผ้า	sìi-lǐiam-pʉʉn-pâa
aesthetics	สุนทรียภาพ	sun-tá-rii-ya-pâap
defend	สู้คดี	sûu-ka-dii
hardback	หนังสือปกแข็ง	nǎng-sʉ̌ʉ-bpòk-kɛ̌ng
shaman	หมอผี	mɔ̌ɔ-pǐi
darkroom	ห้องมืด	hɔ́ɔŋ-mʉ̂d
jump head	หัวต่อ	hǔa-dtɔ̀
sub-title	หัวเรื่องย่อย	hǔa-rʉ̂aŋ-yɔ̂y
supernatural	เหนือธรรมชาติ	hə̌ə-tám-chaa-dtì
overhead	เหนือศีรษะ	hʉ̌a-sii-sà
dry up	แห้งผาก	hɛ̂ng-pàak
go along	ให้ความร่วมมือ	hâi-kwaam-ruuam-mʉʉ
keep strokes	ให้จังหวะ	hâi-jaŋ-wà
as usual	อย่างเคย	yàaŋ-khəəi
Good morning	อรุณสวัสดิ์	a-run-sà-wàt
swear out	ออกหมายจับ	ɔ̀ɔk-măai-jàp
ego	อัตตา	at-dtaa
egoism	อัตตานิยม	àt-dtaa-ní-yom
useful life	อายุใช้งาน	aa-yú-chái-ngaan
senior	อาวุโส	aa-wú-sǒo
acknowledgement	เอกสารตอบรับ	èek-sǎan-dɔ̀p-ráp
self-willed	เอาแต่ใจตัวเอง	ao-dtɛ̀-jai-dtua-eeŋ
able-bodied	กำยำล่ำสัน	gam-yam-làm-san
street isle	เกาะกลางถนน	gɔ̀-glaang-tà-nǒn
preborn	เกิดก่อนกำหนด	gə̀ət-gòn-gam-nòt
there is trouble	เกิดเรื่อง	gə̀ət-rʉ̂aŋ
more than is necessary	เกินความจำเป็น	gəən-kwaam-jam-bpen
underdeveloped	ไกลปืนเที่ยง	glai-bpʉun-tîang
broken off	ขาดระยะ	khàad-rá-ya
clearly white	ขาวผ่อง	khaao-phɔ̀ɔŋ
raise the salary	ขึ้นเงินเดือน	khʉ́n-ngən-dʉan
start working on one's shift	เข้ากะ	khâa-ga
take part	เข้าแทรกแซง	khâo-trɛɛk-sɛɛŋ
forget all the acquired knowledge	เข้าพุง	khâo-puŋ
be in a critical situation	เข้ามุม	kâo-mum
dare not to meet	เข้าหน้าไม่ติด	khâa-nâa-mai-dtìt
cross one's legs	ไขว้ขา	kǎi-kǎa
proceed gradually	ค่อยเป็นค่อยไป	khɔ̂i-ben-khɔ̂i-bpai
in due time	ค่อยเป็นค่อยไป	khɔ̂ɔi-bpen-khɔ̂ɔi-bpai
full marks	คะแนนเต็ม	ka-nɛɛn-dtèm
cost of utilities	ค่าน้ำค่าไฟ	kâa-náam-kâa-fai
alimony	ค่าส่งเสีย	kâa-sòŋ-sǐa
consent	คำยินยอม	kam-yin-yɔɔm
be charge interest	คิดดอกเบี้ย	kit-dɔɔk-bia
watch over closely	คุมแจ	kum-jɛɛ
whoever	ใครก็ตาม	krai-gɔ̀-dtaam
be inert	งอมืองอเท้า	ngɔ-mʉʉ-ngɔ-táo
transfer payment	เงินโอน	ngən-oon
be end	จบเกม	jòp-gem
medical ethics	จรรยาแพทย์	jan-yaa-pɛɛt
mortal wound	แผลฉกรรจ์	pɛ̌ɛn-ja-gaht
be farsighted	มองการณ์ไกล	mɔɔŋ-gaan-gai
around	รอบข้าง	rɔ̂ɔp-kâaŋ
abase	ลดเกียรติ	lód-gia-dtì
plead for	วอนขอ	won-kɔ̌ɔ
workday	วันทำงาน	wan-tam-ngaan
fight a lawsuit	สู้ความ	sûu-kwaam
act up	แสดงอาการ	sà-dɛɛŋ-aa-gaan
deduct marks	หักคะแนน	hàk-ká-nɛɛn
think of	เห็นแก่	hèn-gɛ̀
mark	ให้คะแนน	hâi-ká-nɛɛn
solartag	กระจกสะท้อนแสง	gra-jok-sa-tɔ́ɔn-sɛɛŋ
wind shield	กระจกหน้ารถยนต์	gra-jòk-nâa-rót-yon
green card	กรีนการ์ด	grii-gaan-dit
black box	กล่องดำ	glɔ̀ŋ-dam
biogas	ก๊าซชีวภาพ	gáas-chii-wa-phaap
shipping	การขนส่ง	gaan-kon-sòŋ
quality control	การควบคุมคุณภาพ	gaan-kuap-kum-kun-naa-pap
air traffic	การจราจรทางอากาศ	gaan-ja-raa-jon-taang-aa-gaat
tourism	การท่องเที่ยว	gaan-tɔ̂ŋ-tîao
auction	การประมูล	gaan-bpra-muun
brainstorming	การระดมสมอง	gaan-rá-dom-sà-moŋ
net profit	กำไรสุทธิ	gam-rai-sùt-tí
pedestrian	คนเดินเท้า	kon-dəən-táo
workaholic	คนบ้างาน	kon-báa-ngaan
know-how	ความรู้เชิงปฏิบัติการ	kwaam-rúu-chəəng-bpa-dtì-bpat-ti-gaan
rip off	คิดเกินราคา	kit-gəən-raa-kaa
pay back	คืนเงิน	khʉʉn-ngən
cable	เคเบิลทีวี	kee-bən-tii-wii
answering machine	เครื่องตอบรับโทรศัพท์	krʉ̂aŋ-dtɔ̀p-ráp-too-rá-sà
water heater	เครื่องทำน้ำร้อน	khrʉ̂aŋ-tam-nâam-rɔ́ɔn
coffee grinder	เครื่องบดกาแฟ	khrʉ̂aŋ-bòt-gaa-fɛɛ
water pump	เครื่องปั๊มน้ำ	khrʉ̂aŋ-bpàm-náam
expo	งานแสดงสินค้า	ngaan-sɛ̀ɛdaŋ-sin-káa
term of payment	เงื่อนไขการชำระเงิน	ngʉ̂an-nai-gaan-cham-rá-ngən
positive	แง่บวก	ŋɛ̂-buak
look!	จงดู	jong-duu
listen	จงฟัง	jong-faŋ
electronic mail	จดหมายอิเล็กทรอนิกส์	jòt-mài-i-lek-tro-nik
dish	จานดาวเทียม	jaan-daao-tiiam
landowner	เจ้าของที่ดิน	jâo-kɔɔŋ-tîi-din
new look	โฉมใหม่	chom-mai
generation gap	ช่องว่างระหว่างวัย	chɔ̂ŋ-wâaŋ-rá-wàaŋ-wai
sell out	เซ้ง	sêŋ
administrative	ด้านการบริหาร	dâan-gaan-bɔ-ri-hǎan
cultural	ด้านวัฒนธรรม	dâan-wàt-ta-na-taam
economic	ด้านเศรษฐกิจ	dâan-sèt-tá-gìt
Down's syndrome	ดาวน์ซินโดรม	daao-sin-doo-rom
unlimited	โดยไม่จำกัด	dɔɔi-mai-jam-gàt
be in danger	ตกอยู่ในอันตราย	dtòk-yùu-nai-an-dtà-raai
pedestal	ทางเดินเท้า	taang-dəən-táao
motorway	ทางหลวงพิเศษ	thaang-luaŋ-pí-sèet
town house	ทาวน์เฮาส์	taao-hao
lounge	ที่รับรอง	tîi-ráp-rɔɔŋ
information technology	เทคโนโลยีสารสนเทศ	thék-nó-loo-yii-sǎan-sǒn-thét
cardphone	โทรศัพท์ใช้บัตร	too-rá-sàp-chái-bàt
cordless telephone	โทรศัพท์ไร้สาย	too-rá-sàp-ráai-saai
self-service	บริการตัวเอง	bɔ-ri-gaan-dtua-eeŋ
subscribe	บอกรับเป็นสมาชิก	bɔ̀ɔk-ráp-bpen-sà-maa-chík
savings account	บัญชีออมทรัพย์	bàn-chii-ɔɔm-sàp
boutique	บูติก	bu-dtìk
feature	ประกอบด้วย	bpra-gɔ̀ɔp-dûay
Spinach	ผักขม	pàk-kom
Parsley	ผักชีฝรั่ง	pàk-chii-faŋ
panelboard	แผงจ่ายไฟ	pɛɛŋ-jài-fai
switchboard	แผงสวิตช์	pɛɛŋ-swit
CD	แผ่นซีดี	pɛ̀ɛn-sii-dii
intern	พนักงานฝึกหัด	pá-nák-ngaan-fʉ̀k-hàt
in-house	ภายในประเทศ	paa-nai-bpra-deet
Open University	มหาวิทยาลัยเปิด	má-hǎa-wít-tá-yaa-làp
self-confident	มั่นใจตัวเอง	màn-jai-dua-eeŋ
measure	มาตรการ	maa-dtà-gaan
minicomputer	มินิคอมพิวเตอร์	mi-ni-kɔɔm-piu-dtə̀
qualified	มีคุณสมบัติดีพร้อม	mii-kun-sŏm-bàt-dii-práwm
shaver	มีดโกนหนวดไฟฟ้า	mii-don-nùad-fai-fáa
microcomputer	ไมโครคอมพิวเตอร์	mai-kro-kom-piu-dtə̀
inoperative	ไม่ทำงาน	mài-tam-ngaan
never-ending	ไม่มีที่สิ้นสุด	mâi-mii-tîi-sîn-sùt
e.g.	ยกตัวอย่างเช่น	yók-dtua-yàaŋ-chên
remain	ยังคง	yaŋ-kong
pulp	เยื่อกระดาษ	yʉ̂a-gra-dàat
tram	รถราง	rót-raang
brainstorm	ระดมสมอง	rá-dom-sà-moŋ
digital	ระบบดิจิตอล	rá-bòp-di-jì-dtɔɔn
answering system	ระบบโทรศัพท์ตอบรับ	rá-bòp-too-rá-sàp-dtɔ̀ɔp-ráp
automatic telephone system	ระบบโทรศัพท์อัตโนมัติ	rá-bòp-too-rá-sàp-àt-dtà-noo-màt
scandal	เรื่องอื้อฉาว	rʉ̂aŋ-ʉ̂u-chao
wireless	ไร้สาย	rái-sǎai
docudrama	ละครกึ่งสารคดี	la-krok-kʉ̀ng-saan-ka-dii
brainwash	ล้างสมอง	láaŋ-sa-moŋ
adult	ลามกอนาจาร	laa-m-gɔ-naa-jaan
cyberspace	โลกเทคโนโลยีสารสนเทศ	loo-tek-no-loo-ii-sǎan-sǒn-tee-sàt
pager	วิทยุติดตามตัว	wít-ya-dtìt-dtaam-dtua
jargon	ศัพท์เทคนิคเฉพาะ	sàp-têk-nik-chà-pò
mall	ศูนย์การค้า	sun-gaan-kaa
black economy	เศรษฐกิจนอกระบบ	sèd-ta-gin-nɔɔk-ra-bòp
brain drain	สมองไหล	sà-mɔɔŋ-lai
market share	ส่วนแบ่งการตลาด	sùan-bɛ̀ŋ-gaan-dtà-làat
hotline	สายด่วน	sǎai-dùan
fibre-optic	สายใยแก้วนำแสง	sǎai-yai-gɛ̂ɛw-nam-sɛ̌ɛ
mixed media	สื่อผสม	sʉ̀ɔ-pà-som
high-rise	สูงระฟ้า	sǔung-rá-fáa
dietary fibre	เส้นใยอาหาร	sên-jai-aa-hǎan
Euro	หน่วยเงินตรายุโรป	nùay-ngən-dtaa-yu-rôop
end of life	หมดอายุการใช้งาน	mòd-aa-yú-gaan-chái-ngaan
black hole	หลุมดำ	lùm-dam
art galleries	หอศิลป์	hɔ̌-sìn
monument	อนุสาวรีย์	a-nu-sǎa-rii
efficiently	อย่างมีประสิทธิภาพ	yàaŋ-mii-bprà-sìt-tí-phaap
box	ออกโทรทัศน์	ɔ̀ɔk-too-tát
interest rate	อัตราดอกเบี้ย	àt-raa-dɔ̀ɔk-bia
office building	อาคารสำนักงาน	aa-kaan-sam-nák-ngaan
fast food	อาหารจานด่วน	aa-hǎan-jaan-duàn
main courses	อาหารจานหลัก	aa-hǎan-jaan-làk
irradiated food	อาหารฉายรังสี	aa-hǎan-chai-raŋ-sii
convenience food	อาหารสะดวกซื้อ	aa-hǎan-sà-dùak-sʉ́a
EQ	อีคิว	ii-kiu
telecommunication	อุปกรณ์โทรคมนาคม	u-bpà-gon-too-rá-kom-ma-naa-kom
black box	กล่องดำ	glɔ̀ŋ-dam
biogas	ก๊าซชีวภาพ	gáas-chii-wa-phaap
brainstorming	การระดมสมอง	gaan-rá-dom-sà-moŋ
workaholic	คนบ้างาน	kon-báa-ngaan
know-how	ความรู้เชิงปฏิบัติการ	kwaam-rúu-chəəng-bpa-dtì-bpat-ti-gaan
cable	เคเบิลทีวี	khee-bən-thii-wii
answering machine	เครื่องตอบรับโทรศัพท์	khrʉ̂aŋ-dtɔ̀ɔp-ráp-too-r
dish	จานดาวเทียม	jaan-daao-tiiam
new look	โฉมใหม่	chom-mai
generation gap	ช่องว่างระหว่างวัย	chɔ̂ŋ-wâaŋ-rá-wàaŋ-wai
Down's syndrome	ดาวน์ซินโดรม	daao-sin-doo-rom
motorway	ทางหลวงพิเศษ	taang-luaŋ-pí-sèet
town house	ทาวน์เฮาส์	tao-hao
information technology	เทคโนโลยีสารสนเทศ	thek-noo-loo-yii-sǎan-sǒn-thêet
cardphone	โทรศัพท์ใช้บัตร	too-rá-sàp-chai-bàt
self-service	บริการตัวเอง	bɔ-ri-gaan-dtua-eeŋ
boutique	บูติก	buu-dtìk
CD	แผ่นซีดี	pɛ̀ɛn-sii-dii
in-house	ภายในประเทศ	phai-nai-bpra-tèet
Open University	มหาวิทยาลัยเปิด	má-hǎa-wít-tá-yaa-lǎi-bpə̀ət
microcomputer	ไมโครคอมพิวเตอร์	mai-kroo-kom-piu-də
wireless	ไร้สาย	rai-saai
docudrama	ละครกึ่งสารคดี	la-kɔɔn-kʉ̀ng-sǎan-ka-dii
brainwash	ล้างสมอง	láang-sà-mɔɔŋ
adult	ลามกอนาจาร	laa-m-gɔ-naa-jaan
pager	วิทยุติดตามตัว	wit-tá-yú-dtìt-dtaam-dtua
mall	ศูนย์การค้า	sǔun-gaan-kaa
black economy	เศรษฐกิจนอกระบบ	sèd-dtà-gin-nɔ̀k-rá-bòp
brain drain	สมองไหล	sà-moŋ-lai
hotline	สายด่วน	sǎai-duàn
mixed media	สื่อผสม	sʉ̂u-pà-sǒm
dietary fibre	เส้นใยอาหาร	sên-jai-aa-hǎan
Euro	หน่วยเงินตรายุโรป	nù-ay-ngən-dtaa-yu-rôop
black hole	หลุมดำ	lùm-dam
box	ออกโทรทัศน์	ɔ̀ɔk-too-tat
fast food	อาหารจานด่วน	aa-hǎan-jaan-duàn
convenience food	อาหารสะดวกซื้อ	aa-hǎan-sà-dùak-sʉ́a
EQ	อีคิว	ii-kiu
showroom	โชว์รูม	choo-ruum
buckle	หัวเข็มขัด	hǔa-khem-khàt
chevrons	บั้งยศ	baŋ-yót
The Judge Advocate General's Department	กรมพระธรรมนูญ	grom-prá-tam-nun
The Textile Organization	องค์การทอผ้า	oŋ-gaan-tɔɔ-pâa
The Tanning Organization	องค์ฟอกหนัง	ong-fɔ̀ɔk-naŋ
special advisor	ที่ปรึกษาพิเศษ	tîi-bprʉk-sǎa-pí-sèt
full dress uniform	เครื่องแบบเต็มยศ	khrʉ̂aŋ-bɛ̀ɛp-dtèm-yót
blank cartridge	กระสุนหลอก	grà-sùn-lɔ̀ɔk
air strike	การโจมตีทางอากาศ	gaan-joom-dtii-taaŋ-aa-gàat
biological weapon	อาวุธชีวภาพ	aa-wút-chii-wá-phaap
chemical weapon	อาวุธเคมี	aa-wut-kee
external factor	ปัจจัยภายนอก	bpàt-jai-paai-nɔ̀ɔk
internal factor	ปัจจัยภายใน	bpàt-jay-paai-nai
vision	วิสัยทัศน์	wi-sǎi-tát
power dry	สารดูดความชื้น	sǎan-dùut-kwaam-chʉ́n
website	เว็บไซต์	wép-sai
small business	ธุรกิจขนาดย่อม	tu-rá-gìt-kà-nàat-yɔ̀ɔm
biological weapon	อาวุธเชื้อโรค	aa-wút-chʉ́a-rook
fuel gas	ก๊าซเชื้อเพลิง	gâas-chʉ́a-pləŋ
target group	กลุ่มเป้าหมาย	glùm-bpâo-măai
broker	โบรกเกอร์	boo-rók-kəə
technical specialist	นักวิชาการพิเศษ	nák-wí-chaa-gaan-pí-sèet
chief engineer	นายช่างใหญ่	naai-chaang-yai
deputy chief	รองหัวหน้า	roong-hǔa-nâa
economist	นักเศรษฐศาสตร์	nák-sèet-tà-sàat
good boy	เด็กดี	dèk-dii
folk wisdom	ภูมิปัญญาพื้นบ้าน	puu-mi-bpan-yaa-pʉ́ʉn-bâan
provincial part	ภูมิภาค	puu-mi-phaak
provincial	ภูมิภาค	puu-mí-phaak
native habitat	ภูมิลำเนา	puu-mi-lam-nao
geography	ภูมิศาสตร์	puu-mi-sàat
weather	ภูมิอากาศ	puu-mii-aa-gàat
consuming property	โภคทรัพย์	poo-ka-sàp
mother	แม่	mɛ̂a
though	แม้	mɛ̂
even if	แม้กระทั่ง	mɛ́ɛ-grà-dtàŋ
market  women	แม่ค้า	mɛ̂e-khaa
horseshoe crab	แมงดา	mɛɛŋ-daa
pimp	แมงดา	mɛɛŋ-daa
army leader	แม่ทัพ	mɛ̂-tap
accurate	แม่นยำ	mɛ̂ɛ-nyam
accurately	แม่นยำ	mɛ̂e-nyam
river	แม่น้ำ	mɛ̂ɛ-náam
river	แม่น้ำลำคลอง	mɛ̂ɛ-náam-lam-klong
leading role	แม่บท	mɛ̂ɛ-bòt
topic	แม่บท	mɛ̀ɛ-bòt
housekeeper	แม่บ้าน	mɛ̂ɛ-bâan
housewife	แม่บ้าน	mɛ̀ɛ-bâan
breeder	แม่พันธุ์	mɛ̂ɛ-pun
teacher	แม่พิมพ์	mɛ̂e-pim
mold	แม่พิมพ์	mɛ̀-pim
insect	แมลง	mɛ̌-lɔɔŋ
primary colours	แม่สี	mɛ̂e-sǐi
electro-magnet	แม่เหล็กไฟฟ้า	mɛ̀-lèk-fai-fáa
o'clock	โมง	mooŋ
be angry	โมโห	moo-hǒo
angry	โมโห	moo-hǒo
not	ไม่	mâi
wood	ไม้	máai
plant	ไม้	máai
broom	ไม้กวาด	máai-gwàat
microcomputer	ไมโครคอมพิวเตอร์	mai-kroo-kom-piu-dtə̀
flowerer	ไม้ดอก	mái-dɔ̀k
tree	ไม้ต้น	mái-dtôn
friendship	ไมตรี	mai-dtrii
foliage plant	ไม้ใบ	mái-bai
fruit	ไม้ผล	mái-pǒn
bamboo	ไม้ไผ่	máai-pài
perennial plant	ไม้ยืนต้น	máai-yuun-dtôn
mile	ไมล์	mail
tree	ไม้ใหญ่	mái-yài
separate	แยกประเภท	yɛ̀ɛk-bpra-pét
distinguish	แยกแยะ	yɛ̂ɛk-yɛ̀
separate	แยกส่วน	yɛ̀ɛk-sùan
catch	แย่ง	yɛ̂ng
contradict	แย้ง	yɛ́ng
snatch	แย่งชิง	yɛ̂ŋ-chiŋ
blossom	แย้ม	yɛ́m
reveal	แย้ม	yɛ́m
remove	โยกย้าย	yôok-yáay
first	แรกเริ่ม	rɛɛk-rə̂m
vulture	แร้ง	rɛ̂ŋ
